"","country","iso3c","year","instrument_name","instrument_type","status","source","census_round"
"142","Australia","AUS",2021,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"143","Cook Islands","COK",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"144","Fiji","FJI",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"145","Guam (US)","GUM",2018,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"146","Guam (US)","GUM",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"147","Kiribati","KIR",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"148","Marshall Islands","MHL",2021,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"149","Micronesia Federal States of","FSM",2017,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"150","Nauru","NRU",2021,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"151","New Zealand","NZL",2017,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"152","New Zealand","NZL",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"153","Niue","NIU",2021,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"154","North. Mariana Isl. (US)","MNP",2018,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"155","North. Mariana Isl. (US)","MNP",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"156","Palau","PLW",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"157","Samoa","WSM",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"158","Solomon Isands","SLB",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"159","Tonga","TON",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"160","Tuvalu","TUV",2017,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"161","Vanuatu","VUT",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"162","Botswana","BWA",2015,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"163","Burkina Faso","BFA",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"164","Cabo Verde","CPV",2015,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"165","Congo, Rep.","COG",2015,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"166","Cote d'Ivoire","CIV",2016,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"167","Egypt","EGY",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"168","Equatorial Guinea","GNQ",2015,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"169","The Gambia","GMB",2012,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"170","Lesotho","LSO",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"171","Malawi","MWI",2007,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"172","Mauritius","MUS",2014,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"173","Mozambique","MOZ",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"174","Namibia","NAM",2014,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"175","Niger","NER",2008,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"176","Reunion (Fr)","REU",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"177","Senegal","SEN",2013,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"178","Seychelles","SYC",2011,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"179","South Africa","ZAF",2007,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"180","The Kingdom of Eswatini","SWZ",2013,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"181","Tanzania, Un. Rep. of","TZA",2008,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"182","Togo","TGO",2012,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"183","Uganda","UGA",2009,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"184","Antigua and Barbuda","ATG",2007,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"185","Belize","BLZ",2011,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"186","Canada","CAN",2011,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"187","Costa Rica","CRI",2014,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"188","El Salvador","SLV",2008,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"189","Grenada","GRD",2012,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"190","Guadeloupe (Fr)","GLP",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"191","Haiti","HTI",2009,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"192","Jamaica","JAM",2007,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"193","Martinique (Fr)","MTQ",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"194","Mexico","MEX",2007,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"195","Nicaragua","NIC",2011,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"196","Panama","PAN",2011,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"197","Saint Lucia","LCA",2007,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"198","United States of America","USA",2007,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"199","United States of America","USA",2012,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"200","Argentina","ARG",2008,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"201","Bolivia","BOL",2013,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"202","Brazil","BRA",2006,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"203","Chile","CHL",2007,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"204","Colombia","COL",2014,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"205","French Guyana","GUF",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"206","Paraguay","PRY",2008,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"207","Peru","PER",2012,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"208","Suriname","SUR",2008,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"209","Uruguay","URY",2011,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"210","Venezuela","VEN",2008,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"211","Armenia","ARM",2014,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"212","Azerbaijan","AZE",2015,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"213","Bangladesh","BGD",2008,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"214","Bhutan","BTN",2009,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"215","Cambodia","KHM",2013,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"216","China","CHN",2006,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"217","Cyprus","CYP",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"218","Georgia","GEO",2014,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"219","India","IND",2011,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"220","Iran","IRN",2015,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"221","Indonesia","IDN",2013,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"222","Japan","JPN",2015,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"223","Jordan","JOR",2007,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"224","Kazakhstan","KAZ",2007,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"225","Lao PDR","LAO",2011,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"226","Lebanon","LBN",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"227","Mongolia","MNG",2011,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"228","Myanmar","MMR",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"229","Nepal","NPL",2012,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"230","Occupied Palestinian Territory","PSE",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"231","Oman","OMN",2013,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"232","Pakistan","PAK",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"233","Philippines","PHL",2012,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"234","Russian Federation","RUS",2006,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"235","Saudi Arabia","SAU",2015,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"236","Sri Lanka","LKA",2014,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"237","Tajikistan","TJK",2013,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"238","Thailand","THA",2013,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"239","Viet Nam","VNM",2011,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"240","Albania","ALB",2012,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"241","Austria","AUT",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"242","Belgium","BEL",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"243","Bulgaria","BGR",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"244","Croatia","HRV",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"245","Czechia","CZE",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"246","Denmark","DNK",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"247","Estonia","EST",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"248","Finland","FIN",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"249","France","FRA",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"250","Germany","DEU",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"251","Greece","GRC",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"252","Hungary","HUN",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"253","Iceland","ISL",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"254","Ireland","IRL",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"255","Italy","ITA",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"256","Latvia","LVA",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"257","Lithuania","LTU",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"258","Luxembourg","LUX",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"259","Macedonia","MKD",2007,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"260","Malta","MLT",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"261","Moldova","MDA",2011,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"262","Montenegro","MNE",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"263","Netherland","NLD",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"264","Norway","NOR",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"265","Poland","POL",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"266","Portugal","PRT",2009,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"267","Romania","ROU",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"268","Serbia","SRB",2012,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"269","Slovakia","SVK",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"270","Slovenia","SVN",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"271","Spain","ESP",2009,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"272","Sweden","SWE",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"273","Switzerland","CHE",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"274","United Kingdom","GBR",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"275","Australia","AUS",2011,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"276","Cook Islands","COK",2011,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"277","Fiji","FJI",2009,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"278","New Zealand","NZL",2012,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"279","Niue","NIU",2009,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"280","Palau","PLW",2015,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"281","Samoa","WSM",2009,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"282","Tonga","TON",2015,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"283","Vanuatu","VUT",2007,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
