"","country","iso3c","year","instrument_name","instrument_type","status","source","authoring_entity","study_type","household_flag"
"1","Algeria","DZA",2022,"Good Growth Plan, 2022","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta",NA,FALSE
"2","Algeria","DZA",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"3","Argentina","ARG",2019,"Pastoralists-driven Data Management System in Argentina, 2018-2019.","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Fundación Gran Chaco, Pastoralist Knowledge Hub, Agricultural Research Centre for International Development (CIRAD)",NA,FALSE
"4","Argentina","ARG",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"5","Armenia","ARM",2018,"Integrated Living Conditions Survey 2018","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Statistical Service of the Republic of Armenia","Integrated Survey (non-LSMS) [hh/is]",TRUE
"6","Armenia","ARM",2017,"Integrated Living Conditions Survey 2017","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Statistical Service of the Republic of Armenia","Integrated Survey (non-LSMS) [hh/is]",TRUE
"7","Armenia","ARM",2016,"Integrated Living Conditions Survey 2016","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Statistical Service (NSS RA)","Integrated Survey (non-LSMS) [hh/is]",TRUE
"8","Armenia","ARM",2015,"Integrated Living Conditions Survey 2015","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Statistical Service","Integrated Survey (non-LSMS) [hh/is]",TRUE
"9","Armenia","ARM",2014,"Integrated Living Conditions Survey 2014","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Statistical Service (NSS RA)","Integrated Survey (non-LSMS) [hh/is]",TRUE
"10","Armenia","ARM",2013,"Integrated Living Conditions Survey 2013","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Statistical Service","Integrated Survey (non-LSMS) [hh/is]",TRUE
"11","Australia","AUS",2016,"Good Growth Plan, 2014-2016","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"12","Bangladesh","BGD",2019,"Multi Sector Needs Assessment: Cox’s Bazar, Rohingya Refugee Response – June 2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","UN High Commissioner for Refugees, IOM Needs and Population Monitoring, ACAPS, Vulnerability Analysis and Mapping, Registration, Evaluation, Authorisation and Restriction of Chemicals",NA,FALSE
"13","Bangladesh","BGD",2016,"Poverty and Groundwater Salinity Survey, 2016","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Monica Yanez-Pagans","Other Household Survey [hh/oth]",FALSE
"14","Bangladesh","BGD",2016,"Smallholder Household Survey - CGAP, 2016","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Jamie Anderson","Other Household Survey [hh/oth]",TRUE
"15","Bangladesh","BGD",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"16","Belgium","BEL",2017,"Good Growth Plan, 2014-2017","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"17","Brazil","BRA",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"18","Cambodia","KHM",2021,"Cambodia Agriculture Survey 2020","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistics (NIS), Ministry of Planning, Ministry of Agriculture, Forestry and Fisheries (MAFF)",NA,FALSE
"19","Cambodia","KHM",2019,"Cambodia Inter-Censal Agriculture Survey 2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistics (NIS), Ministry of Agriculture, Forestry and Fishery (MAFF)","Agriculture Integrated Survey[hh/nhh/agris]",FALSE
"20","Cambodia","KHM",2014,"Cambodia Socio-Economic Survey 2014","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistics","Socio-Economic/Monitoring Survey [hh/sems]",TRUE
"21","Cambodia","KHM",2013,"Cambodia Socio-Economic Survey 2013","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistics","Socio-Economic/Monitoring Survey [hh/sems]",TRUE
"22","Cameroon","CMR",2013,"General Livestock and Aquaculture Census, 2013","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistics",NA,FALSE
"23","Chad","TCD",2021,"High Frequency Phone Survey 2020-2021","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistics, Economic and Demographic Studies (INSEED)",NA,FALSE
"24","China","CHN",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"25","Colombia","COL",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"26","Costa Rica","CRI",2016,"Good Growth Plan, 2014-2016","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"27","Côte d'Ivoire","CIV",2022,"Good Growth Plan, 2022","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta",NA,FALSE
"28","Côte d'Ivoire","CIV",2019,"Harmonized Survey on Households Living Standards 2018-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Institut National de la Statistique (INS)",NA,TRUE
"29","Côte d'Ivoire","CIV",2016,"Smallholder Household Survey - CGAP, 2016","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Jamie Anderson","Other Household Survey [hh/oth]",TRUE
"30","Côte d'Ivoire","CIV",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"31","Djibouti","DJI",2021,"COVID-19 National Panel Phone Survey 2021, Wave 4","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Poverty and Equity Global Practice",NA,FALSE
"32","Djibouti","DJI",2020,"COVID-19 National Panel Phone Survey - Wave 1, 2020","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Poverty and Equity Global Practice","Other Household Survey [hh/oth]",FALSE
"33","Djibouti","DJI",2020,"COVID-19 National Panel Phone Survey 2020, Wave 2","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Poverty and Equity GP",NA,FALSE
"34","Djibouti","DJI",2021,"COVID-19 National Panel Phone Survey 2020, Wave 3","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Poverty and Equity GP",NA,FALSE
"35","Djibouti","DJI",2021,"COVID-19 National Panel Phone Survey 2020, Wave 3 - Refugee Sample","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Poverty and Equity Global Practice",NA,FALSE
"36","Ecuador","ECU",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"37","Egypt","EGY",2022,"Good Growth Plan, 2022","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta",NA,FALSE
"38","Egypt","EGY",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"39","Ethiopia","ETH",2020,"COVID-19 High Frequency Phone Survey of Households 2020","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","World Bank","Socio-Economic/Monitoring Survey [hh/sems]",TRUE
"40","Ethiopia","ETH",2019,"Socioeconomic Survey, 2018-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Central Statistics Agency of Ethiopia","Socio-Economic/Monitoring Survey [hh/sems]",TRUE
"41","Ethiopia","ETH",2016,"Ethiopian Socio-economic Survey - Wave 3, 2015-2016","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Central Statistical Agency of Ethiopia","Living Standards Measurement Study [hh/lsms]",TRUE
"42","Ethiopia","ETH",2014,"Ethiopian Socioeconomic Survey 2013-2014","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Central Statistics Agency of Ethiopia (CSA), Living Standards Measurement Study Integrated Surveys of Agriculture (LSMS-ISA)","Socio-Economic/Monitoring Survey [hh/sems]",TRUE
"43","Ethiopia","ETH",2013,"Land and Soil Experimental Research 2013","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Central Statistical Agency of Ethiopia","Living Standards Measurement Study [hh/lsms]",FALSE
"44","France","FRA",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"45","Gambia","GMB",2016,"Integrated Household Survey 2015","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","The Gambia Bureau of Statistics",NA,TRUE
"46","Georgia","GEO",2021,"Survey of Agricultural Holdings, 2020","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","GEOSTAT",NA,FALSE
"47","Germany","DEU",2015,"Good Growth Plan, 2015","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"48","Ghana","GHA",2018,"Agricultural Integrated Survey (AGRIS) - Pilot - MEA module, Ghana Pilot Survey 2018","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Food and Agricultural Organization, Ghana Statistical Service, ",NA,FALSE
"49","Ghana","GHA",2018,"Agricultural Integrated Survey (AGRIS) - Pilot - PME module, Ghana Pilot Survey 2018","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Food and Agricultural Organization, Ghana Statistical Service, ",NA,FALSE
"50","Ghana","GHA",2018,"Agricultural Integrated Survey (AGRIS), Pilot - ECO module, Ghana Pilot Survey 2018","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Food and Agricultural Organization, Ghana Statistical Service, ",NA,FALSE
"51","Ghana","GHA",2018,"Agricultural Integrated Survey (AGRIS), Pilot - LABOUR module, Ghana Pilot Survey 2018","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Food and Agricultural Organization, Ghana Statistical Service, ",NA,FALSE
"52","Ghana","GHA",2017,"Living Standard Survey 2017","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Ghana Statistical Service (GSS)","Living Standards Measurement Study [hh/lsms]",TRUE
"53","Ghana","GHA",2014,"Good Growth Plan, 2014","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"54","Guatemala","GTM",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"55","Honduras","HND",2017,"Good Growth Plan, 2014-2017","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"56","Hungary","HUN",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"57","India","IND",2020,"COVID-19 Related Shocks Survey (CRSS) in Rural India 2020","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","The World Bank","Other Household Survey [hh/oth]",FALSE
"58","India","IND",2020,"COVID-19 Related Shocks Survey in Rural India 2020","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","The World Bank","Other Household Survey [hh/oth]",FALSE
"59","India","IND",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"60","India","IND",2013,"Land and Livestock Holding Survey (Visit 1), 2013","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Sample Survey Office","Other Household Survey [hh/oth]",FALSE
"61","India","IND",2013,"Land and Livestock Holding Survey (Visit 2), 2013","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Sample Survey Office","Other Household Survey [hh/oth]",FALSE
"62","India","IND",2013,"Situation Assessment Survey (Visit 1), 2013","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Sample Survey Organization","Other Household Survey [hh/oth]",FALSE
"63","India","IND",2013,"Situation Assessment Survey (Visit 2), 2013","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Sample Survey Organization","Other Household Survey [hh/oth]",FALSE
"64","Indonesia","IDN",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"65","Iraq","IRQ",2021,"High Frequency Phone Survey 2020-2021","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","The World Bank, World Food Program",NA,FALSE
"66","Iraq","IRQ",2013,"Household Socio-Economic Survey 2012","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Organization for Statistics and Information Technology (COSIT), Kurdistan Regional Statistics Office (KRSO)","Socio-Economic/Monitoring Survey [hh/sems]",TRUE
"67","Italy","ITA",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"68","Japan","JPN",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"69","Jordan","JOR",2015,"Good Growth Plan, 2014-2015","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"70","Kenya","KEN",2022,"Good Growth Plan, 2022","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta",NA,FALSE
"71","Kenya","KEN",2020,"COVID-19 Rapid Response Phone Survey, 2020","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Utz J. Pape","Socio-Economic/Monitoring Survey [hh/sems]",FALSE
"72","Kenya","KEN",2017,"Decent Work Study in Agriculture - Pilot Survey, 2017","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","GSARS, KNBS","Agricultural Survey [ag/oth]",FALSE
"73","Kenya","KEN",2016,"Hunger Safety Net Programme Survey 2016","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Oxford Policy Management Limited","Other Household Survey [hh/oth]",FALSE
"74","Kenya","KEN",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"75","Kiribati","KIR",2020,"Household Income and Expenditure Survey 2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Kiribati National Statistical Office","Income/Expenditure/Household Survey [hh/ies]",TRUE
"76","Liberia","LBR",2017,"Household Income and Expenditure Survey 2016-2017","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Liberia Institute for Statistics and Geo-Information Services","Income/Expenditure/Household Survey [hh/ies]",TRUE
"77","Malawi","MWI",2021,"High Frequency Phone Survey 2020-2021","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Malawi National Statistical Office (NSO)","Socio-Economic/Monitoring Survey [hh/sems]",FALSE
"78","Malawi","MWI",2020,"Fifth Integrated Household Survey, 2019-2020","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Statistical Office (NSO)","Integrated Survey (non-LSMS) [hh/is]",TRUE
"79","Malawi","MWI",2017,"Fourth Integrated Household Survey 2016-2017","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Statistical Office (NSO)","Living Standards Measurement Study [hh/lsms]",TRUE
"80","Malawi","MWI",2013,"Integrated Household Panel Survey 2010-2013 (Short-Term Panel)","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Statistical Office","Living Standards Measurement Study [hh/lsms]",TRUE
"81","Malawi","MWI",2014,"Savings Defaults and Payment Delays for Cash Transfers, 2013-2014","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Xavier Giné, Lasse Brune, Jessica Goldberg, Dean Yang","Other Household Survey [hh/oth]",FALSE
"82","Malawi","MWI",2016,"Integrated Household Panel Survey 2010-2013-2016 (Long-Term Panel, 102 EAs)","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Statistical Office","Sample survey data [ssd]",TRUE
"83","Malawi","MWI",2019,"Integrated Household Panel Survey, 2010-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Statistical Office (NSO)","Living Standards Measurement Study [hh/lsms]",TRUE
"84","Malaysia","MYS",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"85","Mali","MLI",2020,"COVID-19 Panel Phone Survey of Households, 2020","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistics (INSTAT)","Other Household Survey [hh/oth]",TRUE
"86","Mali","MLI",2018,"Integrated Agricultural Survey 2017-2018","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Planning and Statistics Unit, National Institute of Statistics, National Directorate of Agriculture","Living Standards Measurement Study [hh/lsms]",FALSE
"87","Mali","MLI",2014,"Integrated Agricultural Survey 2014","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Planning and Statistics Unit, National Institute of Statistics, National Directorate of Agriculture","Living Standards Measurement Study [hh/lsms]",FALSE
"88","Mexico","MEX",2017,"National Agricultural Survey 2017","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistics, Geography and Informatics","Agricultural Survey [ag/oth]",FALSE
"89","Mexico","MEX",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"90","Mexico","MEX",2014,"National Agricultural Survey 2014","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistic and Geography","Agricultural Survey [ag/oth]",FALSE
"91","Mongolia","MNG",2019,"Pastoralists-driven Data Management System in Mongolia, 2018-2019.","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Federation of Pastoralist User Groups, Pastoralist Knowledge Hub",NA,FALSE
"92","Morocco","MAR",2022,"Good Growth Plan, 2022","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta",NA,FALSE
"93","Morocco","MAR",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"94","Mozambique","MOZ",2015,"Smallholder Household Survey - CGAP, 2015","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Jamie Anderson","Other Household Survey [hh/oth]",TRUE
"95","Mozambique","MOZ",2015,"CGAP Financial Diaries with Smallholder Households 2014-2015","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Jamie Anderson, Wajiha Ahmed, Daryl Collins","Other Household Survey [hh/oth]",TRUE
"96","Myanmar","MMR",2021,"High Frequency Phone Survey 2020-2021","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","World Bank",NA,FALSE
"97","Namibia","NAM",2018,"Post Harvest Losses - Pilot Survey 2018","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Global Strategy for improving Agricultural and Rural Statistics, Namibia Statistics Agency","Agricultural Survey [ag/oth]",FALSE
"98","Nepal","NPL",2019,"Pilot Agriculture Integrated Survey, 2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Central Bureau of Statistics, Ministry of Agriculture and Livestock Development",NA,FALSE
"99","Nepal","NPL",2017,"Survey of Migration and Women's Empowerment in Agriculture","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Erdgin Mane, Vanya Slavchevska",NA,TRUE
"100","Nepal","NPL",2018,"Household Risk and Vulnerability Survey 2016-2018","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","The World Bank","Income/Expenditure/Household Survey [hh/ies]",TRUE
"101","Nepal","NPL",2016,"Fishery Survey 2015","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Central Bureau of Statistics","Agricultural Survey [ag/oth]",FALSE
"102","Netherlands (Kingdom of the)","NLD",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"103","Niger","NER",2015,"National Survey on Household Living Conditions and Agriculture - Wave 2, 2014 - 2015","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","","Living Standards Measurement Study [hh/lsms]",TRUE
